CreationDate,Score
"2019-06-05 09:55:38","0"
"2020-04-21 09:10:59","0"
"2020-04-02 11:07:13","0"
"2020-04-17 15:25:03","0"
"2019-07-30 23:35:56","0"
"2019-02-08 18:19:07","1"
"2020-04-26 07:13:20","0"
"2018-11-06 08:18:50","6"
"2020-04-16 08:29:25","0"
"2020-01-28 13:42:31","0"
"2020-03-31 00:06:15","0"
"2018-03-30 12:26:17","2"
"2019-08-20 19:15:44","2"
"2017-09-12 20:53:38","5"
"2019-08-19 16:54:02","0"
"2018-10-21 16:53:07","2"
"2018-02-13 06:21:07","0"
"2018-02-22 09:09:07","2"
"2020-04-03 10:01:34","0"
"2020-04-28 11:48:50","0"
"2019-05-31 15:34:35","1"
"2020-03-12 10:46:25","1"
"2019-01-23 12:26:54","3"
"2019-06-28 18:50:59","0"
"2020-04-24 17:36:15","0"
"2019-01-16 17:24:10","1"
"2019-08-05 01:09:25","0"
"2018-12-25 07:48:52","1"
"2018-12-13 04:56:00","3"
"2020-02-14 21:45:23","1"
"2020-04-03 15:31:56","0"